ISSN,ISSN2,title,peerreview
2405-4739,2405-4739,Russian Journal of Economics,Single blind
2603-4301,NA,Food Modelling Journal,Single blind
2588-0535,NA,Research Results in Pharmacology,Single blind
2452-3038,2452-3038,Nuclear Energy and Technology,Single blind
2452-1779,2452-1779,Modern Electronic Materials,Single blind
2541-8416,2658-7173,Arctic Environmental Research,Single blind
2409-5834,2500-2910,History of Medicine,Single blind
2247-0735,1223-2254,"Travaux du Muséum National d’Histoire Naturelle “Grigore Antipa""",Single blind
2682-955X,1013-4425,Herpetozoa,Single blind
1809-9939,1809-9939,Neotropical Biology and Conservation,Single blind
2603-557X,0428-0296,Pharmacia,Single blind
2658-3798,NA,Population and Economics,Single blind
1938-2901,NA,Annals of the Entomological Society of America,Single blind
1938-2936,NA,Environmental Entomology,Single blind
2399-3421,NA,Insect Systematics and Diversity,Single blind
1938-291X,NA,Journal of Economic Entomology,Single blind
1938-2928,NA,Journal of Medical Entomology,Single blind
1536-2442,NA,Journal of Insect Science,Single blind
2155-7470,NA,Journal of Integrated Pest Management,Single blind
2409-5834,2500-2910,History of Medicine,Double blind
1432-0576,NA,Annales Geophysicae,Other
1680-7324,NA,Atmospheric Chemistry and Physics,Other
1867-8548,NA,Atmospheric Measurement Techniques,Other
1726-4189,NA,Biogeosciences,Other
1814-9332,NA,Climate of the Past,Other
1996-9465,NA,Drinking Water Engineering and Science,Other
2196-632X,NA,Earth Surface Dynamics,Other
2190-4987,NA,Earth System Dynamics,Other
1866-3516,NA,Earth System Science Data,Other
2628-3719,NA,Geochronology,Other
2193-0864,NA,"Geoscientific Instrumentation, Methods and Data Systems",Other
2569-07110,NA,Geoscience Communication,Other
1991-9603,NA,Geoscientific Model Development,Other
1607-7938,NA,Hydrology and Earth System Sciences,Other
1684-9981,NA,Natural Hazards and Earth System Sciences,Other
1607-7946,NA,Nonlinear Processes in Geophysics,Other
1812-0792,NA,Ocean Science,Other
2199-0398X,NA,SOIL,Other
1994-0424,NA,The Cryosphere,Other
2366-7451,NA,Wind Energy Science,Other
1680-7359,NA,Advances in Geosciences,Single blind
1684-9973,NA,Advances in Radio Science,Single blind
1992-0636,NA,Advances in Science and Research,Single blind
2364-3587,NA,"Advances in Statistical Climatology, Meteorology and Oceanography",Single blind
2363-9822,NA,Archives Animal Breeding,Single blind
2199-3963,NA,ASTRA Proceedings,Single blind
2570-2084,NA,Advances in Cartography and GIScience of the International Cartographic Association,Double blind
2570-2092,NA,Proceedings of the International Cartographic Association,Single blind
2570-2106,NA,Abstracts of the International Cartographic Association,Single blind
2625-8137,NA,DEUQUA Special Publications,Single blind
2199-9090,NA,E&G Quaternary Science Journal,Single blind
2193-0074,NA,Fossil Record,Single blind
2194-8798,NA,Geographica Helvetica,Double blind
2190-5029,NA,History of Geo- and Space Sciences,Single blind
2194-9034,NA,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",Single blind
2041-4978,NA,Journal of Micropalaeontology,Single blind
2194-9050,NA,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",Double blind
2194-878X,NA,Journal of Sensors and Sensor Systems,Single blind
2191-916X,NA,Mechanical Sciences,Single blind
2363-4715,NA,Primate Biology,Single blind
2199-899X,NA,Proceedings of the International Association of Hydrological Sciences,Single blind
1816-3459,NA,Scientific Drilling,Single blind
1868-4564,NA,Stephan Mueller Special Publication Series,Single blind
1399-1183,NA,Web Ecology,Single blind
1111-1111,NA,Test,Test peer review type
1111-1111,NA,Test structured responses,Single blind
