"","ISSN","ISSN2","title","peerreview"
"X.1557","3038-467",NA,"Clinical Neurology and Neurosurgery","Single blind"
"X.1558","1388-2457",NA,"Clinical Neurophysiology","Single blind"
"X.1559","2467-981X",NA,"Clinical Neurophysiology Practice","Single blind"
"X.1560","2615-614",NA,"Clinical Nutrition","Single blind"
"X.1561","2405-4577",NA,"Clinical Nutrition ESPEN","Single blind"
"X.1562","2352-9393",NA,"Clinical Nutrition Experimental","Single blind"
"X.1563","2410-2792","2663-466X","Clinical Oncology","Single blind"
"X.1564","2212-8166",NA,"Clinical Plasma Medicine","Single blind"
"X.1565","2727-358",NA,"Clinical Psychology Review","Single blind"
"X.1566","9926-0",NA,"Clinical Radiology","Single blind"
"X.1567","1876-1399",NA,"Clinical Simulation in Nursing","Single blind"
"X.1568","1492-918",NA,"Clinical Therapeutics","Single blind"
"X.1569","2405-6308",NA,"Clinical and Translational Radiation Oncology","Single blind"
"X.1570","2588-9141",NA,"Clinical eHealth","Single blind"
"X.1571","2210-7401",NA,"Clinics and Research in Hepatology and Gastroenterology","Single blind"
"X.1572","0738-081X",NA,"Clinics in Dermatology","Single blind"
"X.1573","3783-839",NA,"Coastal Engineering","Single blind"
"X.1574","1002-77",NA,"Cognition","Single blind"
"X.1575","8852-014",NA,"Cognitive Development","Single blind"
"X.1576","1002-85","1095-5623","Cognitive Psychology","Single blind"
"X.1577","1389-0417",NA,"Cognitive Systems Research","Single blind"
"X.1578","1077-7229",NA,"Cognitive and Behavioral Practice","Single blind"
"X.1579","0165-232X",NA,"Cold Regions Science and Technology","Single blind"
"X.1584","1021-80",NA,"Combustion and Flame","Single blind"
"X.1585","1007-5704",NA,"Communications in Nonlinear Science and Numerical Simulation","Single blind"
"X.1586","0967-067X",NA,"Communist and Post-Communist Studies","Single blind"
"X.1592","1744-3881",NA,"Complementary Therapies in Clinical Practice","Single blind"
"X.1593","9652-299",NA,"Complementary Therapies in Medicine","Single blind"
"X.1594","2638-223",NA,"Composite Structures","Single blind"
"X.1595","2452-2139",NA,"Composites Communications","Single blind"
"X.1598","2663-538",NA,"Composites Science and Technology","Single blind"
"X.1599","0010-440X",NA,"Comprehensive Psychiatry","Single blind"
"X.1600","1631-0691",NA,"Comptes Rendus Biologies","Single blind"
"X.1601","1631-0748",NA,"Comptes Rendus Chimie","Single blind"
"X.1602","1631-0713",NA,"Comptes Rendus Geoscience","Single blind"
"X.1605","1631-0683",NA,"Comptes Rendus Palevol","Single blind"
"X.1606","1631-0705",NA,"Comptes Rendus Physique","Single blind"
"X.1608","2352-2143",NA,"Computational Condensed Matter","Single blind"
"X.1609","9257-721",NA,"Computational Geometry","Single blind"
"X.1611","1679-473",NA,"Computational Statistics & Data Analysis","Single blind"
"X.1612","2468-1113",NA,"Computational Toxicology","Single blind"
"X.1613","2001-0370","2001-0370","Computational and Structural Biotechnology Journal","Single blind"
"X.1614","2210-271X",NA,"Computational and Theoretical Chemistry","Single blind"
"X.1615","1678-396",NA,"Computer Aided Geometric Design","Single blind"
"X.1616","1403-664","1403-664","Computer Communications","Single blind"
"X.1618","1692-607",NA,"Computer Methods and Programs in Biomedicine","Single blind"
"X.1619","4578-25",NA,"Computer Methods in Applied Mechanics and Engineering","Single blind"
"X.1620","1389-1286",NA,"Computer Networks","Single blind"
"X.1621","1046-55",NA,"Computer Physics Communications","Single blind"
"X.1622","1574-0137",NA,"Computer Science Review","Single blind"
"X.1624","9205-489",NA,"Computer Standards & Interfaces","Single blind"
"X.1625","1077-3142","1090-235X","Computer Vision and Image Understanding","Single blind"
"X.1626","1044-85",NA,"Computer-Aided Design","Single blind"
"X.1627","8956-111",NA,"Computerized Medical Imaging and Graphics","Single blind"
"X.1628","9813-54",NA,"Computers & Chemical Engineering","Single blind"
"X.1629","3601-315",NA,"Computers & Education","Single blind"
"X.1630","4579-06",NA,"Computers & Electrical Engineering","Single blind"
"X.1631","4579-30",NA,"Computers & Fluids","Single blind"
"X.1632","9830-04",NA,"Computers & Geosciences","Single blind"
"X.1633","9784-93",NA,"Computers & Graphics","Single blind"
"X.1634","3608-352",NA,"Computers & Industrial Engineering","Single blind"
"X.1635","8981-221",NA,"Computers & Mathematics with Applications","Single blind"
"X.1636","3050-548",NA,"Computers & Operations Research","Single blind"
"X.1637","1674-048",NA,"Computers & Security","Single blind"
"X.1638","4579-49",NA,"Computers & Structures","Single blind"
"X.1639","8755-4615",NA,"Computers and Composition","Single blind"
"X.1640","1681-699",NA,"Computers and Electronics in Agriculture","Single blind"
"X.1641","0266-352X",NA,"Computers and Geotechnics","Single blind"
"X.1642","1048-25",NA,"Computers in Biology and Medicine","Single blind"
"X.1643","7475-632","7475-632","Computers in Human Behavior","Single blind"
"X.1644","1663-615",NA,"Computers in Industry","Single blind"
"X.1646","1053-8100","1090-2376","Consciousness and Cognition","Single blind"
"X.1647","9500-618",NA,"Construction and Building Materials","Single blind"
"X.1649","1551-7144",NA,"Contemporary Clinical Trials","Single blind"
"X.1650","2451-8654",NA,"Contemporary Clinical Trials Communications","Single blind"
"X.1651","0361-476X","1090-2384","Contemporary Educational Psychology","Single blind"
"X.1652","2784-343",NA,"Continental Shelf Research","Single blind"
"X.1653","1078-24",NA,"Contraception","Single blind"
"X.1654","9670-661",NA,"Control Engineering Practice","Single blind"
"X.1655","1085-45","1085-45","Coordination Chemistry Reviews","Single blind"
"X.1657","0010-938X",NA,"Corrosion Science","Single blind"
"X.1659","1956-671","1095-998X","Cretaceous Research","Single blind"
"X.1660","7490-704",NA,"Critical Care Clinics","Single blind"
"X.1661","1045-2354","1095-9955","Critical Perspectives On Accounting","Single blind"
"X.1662","1040-8428",NA,"Critical Reviews in Oncology/Hematology","Single blind"
"X.1663","2612-194",NA,"Crop Protection","Single blind"
"X.1664","1122-40","1090-2392","Cryobiology","Single blind"
"X.1665","1122-75",NA,"Cryogenics","Single blind"
"X.1666","1567-1739",NA,"Current Applied Physics","Single blind"
"X.1667","2352-0817",NA,"Current Medicine Research and Practice","Single blind"
"X.1668","2352-1546",NA,"Current Opinion in Behavioral Sciences","Single blind"
"X.1669","2468-4511",NA,"Current Opinion in Biomedical Engineering","Single blind"
"X.1670","9581-669",NA,"Current Opinion in Biotechnology","Single blind"
"X.1671","9550-674",NA,"Current Opinion in Cell Biology","Single blind"
"X.1672","1367-5931","1367-5931","Current Opinion in Chemical Biology","Single blind"
"X.1673","2211-3398",NA,"Current Opinion in Chemical Engineering","Single blind"
"X.1674","1359-0294",NA,"Current Opinion in Colloid & Interface Science","Single blind"
"X.1675","2451-9103",NA,"Current Opinion in Electrochemistry","Single blind"
"X.1676","2451-9650",NA,"Current Opinion in Endocrine and Metabolic Research","Single blind"
"X.1677","2468-5844",NA,"Current Opinion in Environmental Science & Health","Single blind"
"X.1678","1877-3435",NA,"Current Opinion in Environmental Sustainability","Single blind"
"X.1679","2214-7993",NA,"Current Opinion in Food Science","Single blind"
"X.1680","0959-437X",NA,"Current Opinion in Genetics & Development","Single blind"
"X.1681","2452-2236",NA,"Current Opinion in Green and Sustainable Chemistry","Single blind"
"X.1682","9527-915",NA,"Current Opinion in Immunology","Single blind"
"X.1683","2214-5745",NA,"Current Opinion in Insect Science","Single blind"
"X.1684","1369-5274","1369-5274","Current Opinion in Microbiology","Single blind"
"X.1685","9594-388",NA,"Current Opinion in Neurobiology","Single blind"
"X.1686","1471-4892",NA,"Current Opinion in Pharmacology","Single blind"
"X.1687","2468-8673",NA,"Current Opinion in Physiology","Single blind"
"X.1688","1369-5266",NA,"Current Opinion in Plant Biology","Single blind"
"X.1689","2352-250X",NA,"Current Opinion in Psychology","Single blind"
"X.1691","0959-440X",NA,"Current Opinion in Structural Biology","Single blind"
"X.1692","2452-3100",NA,"Current Opinion in Systems Biology","Single blind"
"X.1693","2468-2020",NA,"Current Opinion in Toxicology","Single blind"
"X.1694","1879-6257",NA,"Current Opinion in Virology","Single blind"
"X.1695","2214-6628",NA,"Current Plant Biology","Single blind"
"X.1696","1470-272",NA,"Current Problems in Cancer","Single blind"
"X.1697","3630-188",NA,"Current Problems in Diagnostic Radiology","Single blind"
"X.1698","1138-40",NA,"Current Problems in Surgery","Single blind"
"X.1699","0011-393X",NA,"Current Therapeutic Research","Single blind"
"X.1700","1877-1297",NA,"Currents in Pharmacy Teaching and Learning","Single blind"
"X.1701","1043-4666","1096-0023","Cytokine","Single blind"
"X.1702","1359-6101",NA,"Cytokine & Growth Factor Reviews","Single blind"
"X.1703","1465-3249","1477-2566","Cytotherapy","Single blind"
"X.1704","1568-7864",NA,"DNA Repair","Single blind"
"X.1705","0169-023X",NA,"Data & Knowledge Engineering","Single blind"
"X.1706","2352-3409",NA,"Data in Brief","Single blind"
"X.1707","1679-236",NA,"Decision Support Systems","Single blind"
"X.1710","2214-9147",NA,"Defence Technology","Single blind"
"X.1711","1125-7865",NA,"Dendrochronologia","Single blind"
"X.1712","1095-641",NA,"Dental Materials","Single blind"
"X.1713","1027-8117",NA,"Dermatologica Sinica","Single blind"
"X.1714","1191-64",NA,"Desalination","Single blind"
"X.1715","0142-694X",NA,"Design Studies","Single blind"
"X.1716","2352-7285",NA,"Development Engineering","Single blind"
"X.1717","0145-305X",NA,"Developmental & Comparative Immunology","Single blind"
"X.1718","1216-06","1095-564X","Developmental Biology","Single blind"
"X.1719","1878-9293",NA,"Developmental Cognitive Neuroscience","Single blind"
"X.1720","2732-297","1090-2406","Developmental Review","Single blind"
"X.1722","1262-3636",NA,"Diabetes & Metabolism","Single blind"
"X.1723","1688-227",NA,"Diabetes Research and Clinical Practice","Single blind"
"X.1724","7328-893",NA,"Diagnostic Microbiology and Infectious Disease","Single blind"
"X.1725","2211-5684",NA,"Diagnostic and Interventional Imaging","Single blind"
"X.1726","9259-635",NA,"Diamond and Related Materials","Single blind"
"X.1727","9262-245",NA,"Differential Geometry and its Applications","Single blind"
"X.1728","3014-681","1432-0436","Differentiation","Single blind"
"X.1729","2212-0548",NA,"Digital Applications in Archaeology and Cultural Heritage","Single blind"
"X.1730","2589-3777",NA,"Digital Chinese Medicine","Single blind"
"X.1731","2352-8648",NA,"Digital Communications and Networks","Single blind"
"X.1732","1742-2876",NA,"Digital Investigation","Single blind"
"X.1733","1051-2004","1095-4333","Digital Signal Processing","Single blind"
"X.1734","1936-6574",NA,"Disability and Health Journal","Single blind"
"X.1736","0166-218X",NA,"Discrete Applied Mathematics","Single blind"
"X.1737","0012-365X",NA,"Discrete Mathematics","Single blind"
"X.1738","1572-5286",NA,"Discrete Optimization","Single blind"
"X.1739","1150-29",NA,"Disease-A-Month","Single blind"
"X.1740","1419-382",NA,"Displays","Single blind"
"X.1741","7397-240",NA,"Domestic Animal Endocrinology","Single blind"
"X.1744","1347-4367","1880-0920","Drug Metabolism and Pharmacokinetics","Single blind"
"X.1745","3768-716",NA,"Drug and Alcohol Dependence","Single blind"
"X.1746","1437-208",NA,"Dyes and Pigments","Single blind"
"X.1747","3770-265",NA,"Dynamics of Atmospheres and Oceans","Single blind"
"X.1749","2405-6553",NA,"EJVES Short Reports","Single blind"
"X.1750","2087-894X","2656-615X","EXPLORE","Single blind"
"X.1751","8852-006",NA,"Early Childhood Research Quarterly","Single blind"
"X.1752","3783-782",NA,"Early Human Development","Single blind"
"X.1753","2589-8116",NA,"Earth System Governance","Single blind"
"X.1754","0012-821X",NA,"Earth and Planetary Science Letters","Single blind"
"X.1755","1282-52",NA,"Earth-Science Reviews","Single blind"
"X.1756","1471-0153",NA,"Eating Behaviors","Single blind"
"X.1758","1476-945X",NA,"Ecological Complexity","Single blind"
"X.1759","9218-009",NA,"Ecological Economics","Single blind"
"X.1760","9258-574",NA,"Ecological Engineering","Single blind"
"X.1761","2405-9854",NA,"Ecological Genetics and Genomics","Single blind"
"X.1762","1470-160X",NA,"Ecological Indicators","Single blind"
"X.1763","1574-9541",NA,"Ecological Informatics","Single blind"
"X.1764","3043-800",NA,"Ecological Modelling","Single blind"
"X.1765","2452-3062",NA,"Econometrics and Statistics","Single blind"
"X.1766","2509-0038",NA,"EconomiA","Single blind"
"X.1767","3135-926",NA,"Economic Analysis and Policy","Single blind"
"X.1768","2649-993",NA,"Economic Modelling","Single blind"
"X.1769","9393-625",NA,"Economic Systems","Single blind"
"X.1770","1570-677X",NA,"Economics & Human Biology","Single blind"
"X.1772","2727-757",NA,"Economics of Education Review","Single blind"
"X.1773","2212-0122",NA,"Economics of Transportation","Single blind"
"X.1774","2212-0416",NA,"Ecosystem Services","Single blind"
"X.1775","1476-513","1090-2414","Ecotoxicology and Environmental Safety","Single blind"
"X.1776","1749-7728","1749-7728","Education for Chemical Engineers","Single blind"
"X.1777","1747-938X",NA,"Educational Research Review","Single blind"
"X.1778","1110-8665",NA,"Egyptian Informatics Journal","Single blind"
"X.1779","1110-1849","1110-1849","Egyptian Journal of Anaesthesia","Single blind"
"X.1781","2314-808X","2314-808X","Egyptian Journal of Basic and Applied Sciences","Single blind"
"X.1782","1110-8630",NA,"Egyptian Journal of Medical Human Genetics","Single blind"
"X.1783","1110-0621",NA,"Egyptian Journal of Petroleum","Single blind"
"X.1784","1110-6638",NA,"Egyptian Pediatric Association Gazette","Single blind"
"X.1785","2613-794",NA,"Electoral Studies","Single blind"
"X.1786","3787-796",NA,"Electric Power Systems Research","Single blind"
"X.1787","1388-2481",NA,"Electrochemistry Communications","Single blind"
"X.1788","1346-86",NA,"Electrochimica Acta","Single blind"
"X.1789","1567-4223",NA,"Electronic Commerce Research and Applications","Single blind"
"X.1790","7173-458","7173-458","Electronic Journal of Biotechnology","Single blind"
"X.1791","1571-0653",NA,"Electronic Notes in Discrete Mathematics","Single blind"
"X.1792","2405-6650",NA,"Emerging Contaminants","Single blind"
"X.1793","1566-0141",NA,"Emerging Markets Review","Single blind"
"X.1795","1609-327",NA,"Endeavour","Single blind"
"X.1797","3605-442","3605-442","Energy","Single blind"
"X.1798","1968-904",NA,"Energy Conversion and Management","Single blind"
"X.1799","1409-883",NA,"Energy Economics","Single blind"
"X.1800","3014-215",NA,"Energy Policy","Single blind"
"X.1801","2352-4847",NA,"Energy Reports","Single blind"
"X.1803","2405-8297",NA,"Energy Storage Materials","Single blind"
"X.1804","2211-467X",NA,"Energy Strategy Reviews","Single blind"
"X.1805","3787-788",NA,"Energy and Buildings","Single blind"
"X.1806","9730-826",NA,"Energy for Sustainable Development","Single blind"
"X.1811","2079-1747",NA,"Engineering","Single blind"
"X.1812","9557-997",NA,"Engineering Analysis with Boundary Elements","Single blind"
"X.1813","9521-976",NA,"Engineering Applications of Artificial Intelligence","Single blind"
